[367985,692987] [368001,692971]
[310027,617006] [309987,616953]
[224969,8971] [225018,9042]
[351996,447992] [352036,448006]
[354000,448680] [352996,448737]
[84002,954009] [82999,954063]
[748953,67006] [749098,65998]
[181963,287021] [182105,285998]
[507993,299831] [509003,300066]
[286992,105970] [288000,106106]
[710911,758997] [711119,760002]
[154995,510995] [156002,511046]
[436999,599953] [438001,600150]
[394925,199002] [395027,197998]
[858987,996998] [859002,998004]
[25027,970992] [23966,972002]
[959939,493004] [961008,491985]
[632945,470991] [634017,472005]
[554999,476988] [557003,476928]
[753996,383007] [755024,381999]
[346996,826940] [349002,827071]
[296003,855964] [293993,855991]
[4885,50009] [5103,47990]
[834988,891975] [837006,892132]
[256996,652913] [259012,653052]
[917999,371997] [920000,372119]
[649991,595993] [650071,598002]
[261039,45995] [258973,47010]
[264995,648988] [266033,651004]
[853212,629007] [852964,625995]
[403997,252850] [407011,253003]
[693960,664991] [694016,668005]
[131037,114009] [128990,111990]
[114002,701978] [111970,704002]
[619991,913976] [623003,915037]
[703996,811899] [707004,813022]
[400998,707049] [404008,705959]
[211029,754996] [209984,758005]
[478979,358016] [482039,355985]
[219979,290006] [222042,286997]
[537993,538099] [542003,537983]
[611992,877188] [616000,876926]
[638930,663016] [639026,658997]
[605024,195019] [603944,190992]
[926981,487995] [928026,492001]
[970982,537946] [975000,539034]
[330997,39999] [332000,44007]
[625957,627022] [629036,623989]
[446985,805017] [450055,801997]
[687992,529948] [692004,532010]
[780008,578021] [777931,573985]
[539993,47987] [544021,50054]
[976998,329224] [982003,328904]
[809999,889066] [815003,888926]
[421012,716003] [420955,710994]
[138903,700007] [140074,694980]
[565996,487984] [567091,493009]
[199998,785106] [205020,783934]
[878941,259017] [880063,253989]
[114026,701003] [112966,695977]
[212999,288009] [214004,282987]
[677988,969000] [681051,964994]
[626839,323990] [628022,329003]
[646045,982999] [641987,986011]
[795996,852027] [801003,850942]
[6006,101990] [1980,105007]
[581983,382991] [586005,386069]
[985946,447001] [988019,441998]
[713972,793005] [719024,790991]
[811974,225987] [816029,230008]
[259969,653020] [264008,648989]
[510999,422001] [517001,421787]
[691991,588948] [698007,589003]
[682807,983999] [683072,990004]
[127997,467935] [132004,472007]
[620988,497914] [627003,498069]
[229997,565977] [234009,570013]
[854993,990998] [858022,996020]
[682004,983016] [680981,976986]
[125992,118027] [131002,114980]
[150987,432004] [157026,430980]
[841996,686995] [843013,693002]
[137007,103033] [133974,97995]
[147002,53987] [145966,60005]
[212991,288931] [219001,290099]
[146015,690975] [140999,694015]
[341997,197995] [348008,199034]
[952989,496053] [959004,493994]
[452996,741016] [455000,734969]
[304991,990995] [307006,997002]
[862975,396034] [868006,391978]
[680001,976007] [677962,969980]
[90965,912036] [95015,906967]
[508986,961990] [514032,966010]
[414998,947200] [422005,946933]
[567998,493991] [571032,500027]
[157992,430985] [165000,431036]
[515068,269005] [513990,261982]
[797944,202997] [799049,210000]
[593999,80028] [601005,77970]
[774994,779958] [782003,782017]
[6999,101939] [14006,104009]
[246001,420989] [238991,423000]
[436000,599005] [431933,592990]
[716991,932956] [722014,938016]
[273998,792973] [278025,799012]
[708973,248996] [715004,253051]
[921999,544002] [929006,541872]
[529990,778976] [536004,783040]
[121995,106989] [128041,111003]
[28999,543947] [36011,547024]
[900943,591984] [904021,599015]
[418880,938978] [422002,946006]
[34994,759113] [43005,758887]
[195995,485970] [204000,486227]
[251999,190012] [260004,189755]
[497997,589925] [505004,593003]
[769989,262999] [773039,270010]
[911985,635012] [919002,631991]
[798046,303996] [796961,312007]
[817974,492010] [823021,485966]
[480989,238965] [489006,240039]
[526940,357984] [528104,366010]
[996021,152014] [990957,145980]
[150987,432004] [151350,423995]
[405951,540973] [411005,547006]
[554057,476988] [548976,483009]
[580984,796940] [589007,798002]
[892910,389989] [895081,398003]
[479974,302020] [487022,297994]
[180995,97911] [189002,100034]
[997043,707005] [989981,702991]
[667013,299961] [658995,302004]
[235006,833994] [230981,841031]
[204977,486998] [207035,495016]
[335997,759032] [343000,754996]
[156058,511999] [153998,520012]
[356973,71984] [359003,80013]
[246990,420999] [255002,423050]
[946973,103961] [950048,112023]
[743985,439942] [752025,443004]
[788981,198975] [797000,202048]
[824951,601012] [830016,593971]
[585999,41642] [595000,41759]
[287980,847983] [293016,855010]
[604980,503022] [610001,495971]
[475998,311009] [479033,302995]
[496966,386994] [504015,392027]
[740974,546005] [746009,538979]
[241980,882995] [247031,890018]
[500988,955995] [508000,961017]
[718999,895011] [728007,893879]
[197046,106002] [189973,100990]
[492997,142006] [502004,141802]
[778982,200113] [788003,198976]
[685948,90002] [686087,80996]
[574997,733845] [584011,734101]
[386973,192972] [395030,197019]
[654979,972015] [664007,970964]
[840998,497994] [845008,506036]
[700987,961046] [709002,956961]
[442996,735040] [447027,726972]
[610990,495885] [620000,497109]
